,Taxon,,Genus,Hybrid.marker,Species,Abbrev,Infraspecific.rank,Infraspecific,Authority,ID,Plant.Name.Index,TPL.version,Taxonomic.status,Family,New.Genus,New.Hybrid.marker,New.Species,New.Infraspecific.rank,New.Infraspecific,New.Authority,New.ID,New.Taxonomic.status,Typo,WFormat,Higher.level,Date,New.Spp.Name,Data
1,Abelia spathulata,,Abelia,,spathulata,NA,NA,,,kew-2609506,TRUE,1.1,Synonym,Caprifoliaceae,Diabelia,,spathulata,,,(Siebold & Zucc.) Landrein,kew-2899636,Accepted,FALSE,FALSE,FALSE,22/10/2019,Diabelia spathulata,No
2,Abies alba,,Abies,,alba,NA,NA,,,kew-2609691,TRUE,1.1,Accepted,Pinaceae,Abies,,alba,,,Mill.,kew-2609691,Accepted,FALSE,FALSE,FALSE,22/10/2019,Abies alba,Yes
3,Abies amabilis,,Abies,,amabilis,NA,NA,,,kew-2609703,TRUE,1.1,Accepted,Pinaceae,Abies,,amabilis,,,(Douglas ex Loudon) J.Forbes,kew-2609703,Accepted,FALSE,FALSE,FALSE,22/10/2019,Abies amabilis,Yes
4,Abies balsamea,,Abies,,balsamea,NA,NA,,,kew-2609719,TRUE,1.1,Accepted,Pinaceae,Abies,,balsamea,,,(L.) Mill.,kew-2609719,Accepted,FALSE,FALSE,FALSE,22/10/2019,Abies balsamea,Yes
5,Abies borisii-regis,,Abies,,borisii-regis,NA,NA,,,kew-2609736,TRUE,1.1,Accepted,Pinaceae,Abies,×,borisii-regis,,,Mattf.,kew-2609736,Accepted,FALSE,FALSE,FALSE,22/10/2019,Abies borisii-regis,No
6,Abies cephalonica,,Abies,,cephalonica,NA,NA,,,kew-2609753,TRUE,1.1,Accepted,Pinaceae,Abies,,cephalonica,,,Loudon,kew-2609753,Accepted,FALSE,FALSE,FALSE,22/10/2019,Abies cephalonica,Yes
7,Abies firma,1,Abies,,firma,NA,NA,,,kew-2609854,TRUE,1.1,Accepted,Pinaceae,Abies,,firma,,,Siebold & Zucc.,kew-2609854,Accepted,FALSE,FALSE,FALSE,22/10/2019,Abies firma,No
8,Abies grandis,,Abies,,grandis,NA,NA,,,kew-2609877,TRUE,1.1,Accepted,Pinaceae,Abies,,grandis,,,(Douglas ex D.Don) Lindl.,kew-2609877,Accepted,FALSE,FALSE,FALSE,22/10/2019,Abies grandis,Yes
9,Abies holophylla,,Abies,,holophylla,NA,NA,,,kew-2609900,TRUE,1.1,Accepted,Pinaceae,Abies,,holophylla,,,Maxim.,kew-2609900,Accepted,FALSE,FALSE,FALSE,22/10/2019,Abies holophylla,No
10,Abies homolepis,,Abies,,homolepis,NA,NA,,,kew-2609902,TRUE,1.1,Accepted,Pinaceae,Abies,,homolepis,,,Siebold & Zucc.,kew-2609902,Accepted,FALSE,FALSE,FALSE,22/10/2019,Abies homolepis,No
11,Abies lasiocarpa,,Abies,,lasiocarpa,NA,NA,,,kew-2609926,TRUE,1.1,Accepted,Pinaceae,Abies,,lasiocarpa,,,(Hook.) Nutt.,kew-2609926,Accepted,FALSE,FALSE,FALSE,22/10/2019,Abies lasiocarpa,Yes
12,Abies nephrolepis,,Abies,,nephrolepis,NA,NA,,,kew-2609978,TRUE,1.1,Accepted,Pinaceae,Abies,,nephrolepis,,,(Trautv. ex Maxim.) Maxim.,kew-2609978,Accepted,FALSE,FALSE,FALSE,22/10/2019,Abies nephrolepis,No
13,Abies nordmanniana,,Abies,,nordmanniana,NA,NA,,,kew-2609993,TRUE,1.1,Accepted,Pinaceae,Abies,,nordmanniana,,,(Steven) Spach,kew-2609993,Accepted,FALSE,FALSE,FALSE,22/10/2019,Abies nordmanniana,Yes
14,Abies procera,,Abies,,procera,NA,NA,,,kew-2610049,TRUE,1.1,Accepted,Pinaceae,Abies,,procera,,,Rehder,kew-2610049,Accepted,FALSE,FALSE,FALSE,22/10/2019,Abies procera,Yes
15,Abies sachalinensis,1,Abies,,sachalinensis,NA,NA,,,kew-2610065,TRUE,1.1,Accepted,Pinaceae,Abies,,sachalinensis,,,(F.Schmidt) Mast.,kew-2610065,Accepted,FALSE,FALSE,FALSE,22/10/2019,Abies sachalinensis,No
16,Abronia latifolia,,Abronia,,latifolia,NA,NA,,,kew-2610226,TRUE,1.1,Accepted,Nyctaginaceae,Abronia,,latifolia,,,Eschsch.,kew-2610226,Accepted,FALSE,FALSE,FALSE,22/10/2019,Abronia latifolia,No
17,Acer amoenum,,Acer,,amoenum,NA,NA,,,kew-2615367,TRUE,1.1,Synonym,Sapindaceae,Acer,,palmatum,,,Thunb.,kew-2616153,Accepted,FALSE,FALSE,FALSE,22/10/2019,Acer palmatum,No
18,Acer australe,,Acer,,australe,NA,NA,,,kew-2615382,TRUE,1.1,Synonym,Sapindaceae,Acer,,tschonoskii,,,Maxim.,kew-2616598,Accepted,FALSE,FALSE,FALSE,22/10/2019,Acer tschonoskii,No
