ï..Taxon,TPLName,Family,Reference,Year,Country,Population,Latitude,Longitude,Dry_storage,Setting,Sterilization,Nutrients,Substrate,Container_type,Container_size,Container_number,Number_per_container,Incubation_days,Scarification,Stratification_days,Stratification_temperature,Stratification_type,Stratification,Light,Photoperiod,Alternating,Tdif,Tmax,Tmin,Tmean,Temperature,Germinated,Number_seeds
Vaccinium angustifolium,Vaccinium angustifolium,Ericaceae,"Aalders, L. E. and I. V. Hall (1979). ""Germination of Lowbush Blueberry Seeds as Affected by Sizing, Planting Cover, Storage, and Pelleting."" Canadian Journal of Plant Science 59(2): 527-530.",1976,Canada,"cv 70-36a, Kentville, Nova Scotia, Canada",45.06666666666667,-64.53333333333333,Y,Greenhouse,,"300 g granulated magnesium ammonium potassium phosphate (7-40-6), and 25 g ferrous sulphate (2O.8Vo bon).",Soil and vermiculite 1:1,Pot,,1,200,NA,N,0,None,None,N,Y,16,Y,2,18,16,17.333333333333332,15,152,200
Cornus stolonifera,Cornus sericea,Cornaceae,"Acharya, S. N. C., C. B.; Hermesh, R.; Schaalje, G. B. (1992). ""Factors affecting red-osier dogwood seed germination."" Canadian Journal of Botany 70(5): 1012-1016.",1984,Canada,"Hazeldine, Alberta, Canada",53.56666666666667,-110.43333333333334,Y,Incubator,4% sodium hypochlorite solution for 2 min,,Filter paper,Petri,9 cm,3,150,28,N,30,3,Cold,Y,Y,8,Y,15,25,10,14.999999999999998,15,410,450
Aristolochia macrophylla,Aristolochia macrophylla,Aristolochiaceae,"Adams, C. A., et al. (2005). ""Trait stasis versus adaptation in disjunct relict species: evolutionary changes in seed dormancy-breaking and germination requirements in a subclade of <I>Aristolochia</I> subgenus <I>Siphisia</I> (<I>Piperales</I>)."" Seed Science Research 15(2): 161-173.",2000,USA,"Pine Mountain in Letcher County, Kentucky",37.05,-82.86666666666666,Y,Incubator,,,Sand,Petri,5.5 cm,3,50,90,N,0,None,None,N,Y,12,Y,10,30,20,25,25,105,150
Aristolochia macrophylla,Aristolochia macrophylla,Aristolochiaceae,"Adams, C. A., et al. (2005). ""Trait stasis versus adaptation in disjunct relict species: evolutionary changes in seed dormancy-breaking and germination requirements in a subclade of <I>Aristolochia</I> subgenus <I>Siphisia</I> (<I>Piperales</I>)."" Seed Science Research 15(2): 161-173.",2000,USA,"Pine Mountain in Letcher County, Kentucky",37.05,-82.86666666666666,Y,Incubator,,,Sand,Petri,5.5 cm,3,50,90,N,0,None,None,N,Y,12,Y,10,20,10,15,15,75,150
Aristolochia macrophylla,Aristolochia macrophylla,Aristolochiaceae,"Adams, C. A., et al. (2005). ""Trait stasis versus adaptation in disjunct relict species: evolutionary changes in seed dormancy-breaking and germination requirements in a subclade of <I>Aristolochia</I> subgenus <I>Siphisia</I> (<I>Piperales</I>)."" Seed Science Research 15(2): 161-173.",2000,USA,"Pine Mountain in Letcher County, Kentucky",37.05,-82.86666666666666,Y,Incubator,,,Sand,Petri,5.5 cm,3,50,90,N,0,None,None,N,Y,12,Y,10,25,15,20,20,94,150
Aristolochia macrophylla,Aristolochia macrophylla,Aristolochiaceae,"Adams, C. A., et al. (2005). ""Trait stasis versus adaptation in disjunct relict species: evolutionary changes in seed dormancy-breaking and germination requirements in a subclade of <I>Aristolochia</I> subgenus <I>Siphisia</I> (<I>Piperales</I>)."" Seed Science Research 15(2): 161-173.",2000,USA,"Pine Mountain in Letcher County, Kentucky",37.05,-82.86666666666666,Y,Incubator,,,Sand,Petri,5.5 cm,3,50,90,N,0,None,None,N,Y,12,N,0,5,5,5,5,0,150
Aristolochia macrophylla,Aristolochia macrophylla,Aristolochiaceae,"Adams, C. A., et al. (2005). ""Trait stasis versus adaptation in disjunct relict species: evolutionary changes in seed dormancy-breaking and germination requirements in a subclade of <I>Aristolochia</I> subgenus <I>Siphisia</I> (<I>Piperales</I>)."" Seed Science Research 15(2): 161-173.",2000,USA,"Pine Mountain in Letcher County, Kentucky",37.05,-82.86666666666666,Y,Incubator,,,Sand,Petri,5.5 cm,3,50,90,N,0,None,None,N,Y,12,Y,9,15,6,10.5,10,14,150
Aristolochia macrophylla,Aristolochia macrophylla,Aristolochiaceae,"Adams, C. A., et al. (2005). ""Trait stasis versus adaptation in disjunct relict species: evolutionary changes in seed dormancy-breaking and germination requirements in a subclade of <I>Aristolochia</I> subgenus <I>Siphisia</I> (<I>Piperales</I>)."" Seed Science Research 15(2): 161-173.",2000,USA,"Pine Mountain in Letcher County, Kentucky",37.05,-82.86666666666666,Y,Incubator,,,Sand,Petri,5.5 cm,3,50,90,N,0,None,None,N,Y,12,Y,15,30,15,22.5,20,105,150
Aristolochia macrophylla,Aristolochia macrophylla,Aristolochiaceae,"Adams, C. A., et al. (2005). ""Trait stasis versus adaptation in disjunct relict species: evolutionary changes in seed dormancy-breaking and germination requirements in a subclade of <I>Aristolochia</I> subgenus <I>Siphisia</I> (<I>Piperales</I>)."" Seed Science Research 15(2): 161-173.",1999,USA,"Pine Mountain in Letcher County, Kentucky",37.05,-82.86666666666666,Y,Incubator,,,Sand,Petri,5.5 cm,3,50,60,N,0,None,None,N,Y,12,Y,10,25,15,20,20,100,150
Aristolochia macrophylla,Aristolochia macrophylla,Aristolochiaceae,"Adams, C. A., et al. (2005). ""Trait stasis versus adaptation in disjunct relict species: evolutionary changes in seed dormancy-breaking and germination requirements in a subclade of <I>Aristolochia</I> subgenus <I>Siphisia</I> (<I>Piperales</I>)."" Seed Science Research 15(2): 161-173.",1999,USA,"Pine Mountain in Letcher County, Kentucky",37.05,-82.86666666666666,Y,Incubator,,,Sand,Petri,5.5 cm,3,50,60,N,84,5,Cold,Y,Y,12,Y,10,25,15,20,20,150,150
