Setting,Sterilization,Nutrients,Container_type,Container_size,Substrate,Reference
Greenhouse,,"300 g granulated magnesium ammonium potassium phosphate (7-40-6), and 25 g ferrous sulphate (2O.8Vo bon).",Pot,,Soil and vermiculite 1:1,"Aalders, L. E. and I. V. Hall (1979). ""Germination of Lowbush Blueberry Seeds as Affected by Sizing, Planting Cover, Storage, and Pelleting."" Canadian Journal of Plant Science 59(2): 527-530."
Incubator,4% sodium hypochlorite solution for 2 min,,Petri,9 cm,Filter paper,"Acharya, S. N. C., C. B.; Hermesh, R.; Schaalje, G. B. (1992). ""Factors affecting red-osier dogwood seed germination."" Canadian Journal of Botany 70(5): 1012-1016."
Incubator,4% sodium hypochlorite solution for 2 min,,Petri,9 cm,Filter paper,"Acharya, S. N., et al. (1989). ""EFFECTS OF POPULATION, ENVIRONMENT AND THEIR INTERACTION ON SASKATOON BERRY (Amelanchier alnifolia Nutt.) SEED GERMINATION."" Canadian Journal of Plant Science 69(1): 277-284."
Incubator,,,Petri,5.5 cm,Sand,"Adams, C. A., et al. (2005). ""Trait stasis versus adaptation in disjunct relict species: evolutionary changes in seed dormancy-breaking and germination requirements in a subclade of <I>Aristolochia</I> subgenus <I>Siphisia</I> (<I>Piperales</I>)."" Seed Science Research 15(2): 161-173."
Incubator,,,Petri,5.5 cm,Sand,"Adams, C. A., et al. (2011). ""Using size-class structure to monitor growth of underdeveloped embryos in seeds of three Aristolochia species: implications for seed ecology."" Seed Science Research 21(02): 159-164."
Incubator,,,Box,12 x 8 x 5 cm,Filter paper,"Afroze, F. and C. O’Reilly (2013). ""Breaking seed dormancy in European rowan seeds and its implications for regeneration."" New Forests 44(4): 547-557."
Incubator,,,Box,12 x 8 x 5 cm,Filter paper,"Afroze, F. and C. O'Reilly (2015). ""Effect of harvest date, drying, short-term storage and freezing after chilling on the germination of rowan seeds."" Scandinavian Journal of Forest Research 31(4): 339-346."
Incubator,,,Box,12 x 8 x 5 cm,Filter paper,"Afroze, F. O. R., C. (2016). ""Effects of seed moisture content, warm, chilling, and exogenous hormone treatments and germination temperature on the germination of blackthorn seeds."" Plant Biosystems - An International Journal Dealing with all Aspects of Plant Biology 151(3): 474-483."
Incubator,,,Petri,9 cm,Filter paper,"Ahmad, H. H., J. D. (2007). ""Germination and emergence of understorey and tall canopy forbs used in naturalistic sowing mixes. A comparison of performance in vitro v the field."" Seed Science and Technology 35(3): 624-637."
Incubator,,,Petri,9 cm,Filter paper,"Ahn, S.-Y., et al. (2014). ""Effect of Pre-treatment Methods and Germination Promoter on the Seed Emergence of Zanthoxylum schinifolium."" Journal of Agriculture & Life Science 48(5): 9-17."
Incubator,,,Petri,5.5 cm,Filter paper,"Ahola, V. and K. Leinonen (1999). ""Responses of Betula pendula, Picea abies, and Pinus sylvestris seeds to red/far-red ratios as affected by moist chilling and germination temperature."" Canadian Journal of Forest Research 29(11): 1709-1717."
Incubator,,,Petri,9 cm,Soil and sand 3:1,"Albrecht, M. A. and B. C. McCarthy (2006). ""Seed germination and dormancy in the medicinal woodland herbs Collinsonia canadensis L. (Lamiaceae) and Dioscorea villosa L. (Dioscoreaceae)."" Flora - Morphology, Distribution, Functional Ecology of Plants 201(1): 24-31."
Incubator,,,Petri,9 cm,"Soil, sand and moss 1:1:1","Albrecht, M. A. and B. C. McCarthy (2011). ""Variation in dormancy and germination in three co-occurring perennial forest herbs."" Plant Ecology 212(9): 1465-1477."
Room,30 mL L?1 solution of H2O2 for 10 min followed by mixing seeds with wetted perlite and spraying with a fungicide (1.2 g L?1 Captan),,Petri,8 cm,Filter paper,"Alejano, R., et al. (2019). ""The age of black pine (Pinus nigra Arn. ssp. salzmannii (Dunal) Franco) mother trees has no effect on seed germination and on offspring seedling performance."" Annals of Forest Science 76(1)."
Incubator,,,Petri,,Filter paper,"Allen, R. F., R. E. (1977). ""Germination of Silky Dogwood."" The Journal of Wildlife Management 41(4): 767-770."
Incubator,,,,,,"Alp, S., et al. (2009). ""The effects of different warm stratification periods on the seed germination of some Rosa taxa."" African Journal of Biotechnology 8(21): 5838-5841."
Incubator,,,Petri,8.5 cm,Filter paper,"Alvarez, R., et al. (2007). ""Effect of high temperatures on seed germination and seedling survival in three pine species (Pinus pinaster, P. sylvestris and P. nigra)."" International Journal of Wildland Fire 16(1): 63-70."
Incubator,Captan (50%),,Petri,,Filter paper,"Aoki, C. F. R., William H.; Rocca, Monique E. (2011). ""Lodgepole Pine Seed Germination Following Tree Death from Mountain Pine Beetle Attack in Colorado, USA."" The American Midland Naturalist 165(2): 446-451."
Incubator,,,Petri,9 cm,Filter paper,"Aou-ouad, H., et al. (2014). ""Seed germination at different temperatures and seedling emergence at different depths of Rhamnus spp."" Open Life Sciences 9(5): 569-578."
Incubator,,,Petri,5.2 cm,Filter paper,"Araki, S. and I. Washitani (2000). ""Seed dormancy/germination traits of seven Persicaria species and their implication in soil seed-bank strategy."" Ecological Research 15(1): 33-46."
Incubator,Carbendazim and Benzimidazol,,Petri,,Filter paper,"Arcamone, J. R. and P. Jaureguiberry (2018). ""Germination response of common annual and perennial forbs to heat shock and smoke treatments in the Chaco Serrano, central Argentina."" Austral Ecology 43(5): 567-577."
Incubator,,,Petri,15 cm,Filter paper,"Artola, A. C. C., G. (2005). ""Accelerated aging time estimation for birdsfoot trefoil seed."" Seed Science and Technology 33(2): 493-497."
Incubator,,,Petri,,,"Babenko, L. M., NV; Norvajšene, EE (2016). ""Izucenie laboratornoj vshožesti semjan zjuznika evropejskogo (Lycopus europaeus L.)."" Voprosy biologiceskoj, medicinskoj i farmacevticeskoj himii(8): 44-47."
Incubator,6 % sodium hypochlorite solution for five minutes,,Petri,,Filter paper,"Bae, J., et al. (2016). ""Effect of heavy metals on seed germination and seedling growth of common ragweed and roadside ground cover legumes."" Environ Pollut 213: 112-118."
Incubator,,,Petri,,Filter paper,"Baeten, L., et al. (2015). ""Intraspecific variation in flowering phenology affects seed germinability in the forest herb Primula elatior."" Plant Ecology and Evolution 148(2): 283-288."
Incubator,,,Petri,,Filter paper,"Baeten, L., et al. (2015). ""The phosphorus legacy of former agricultural land use can affect the production of germinable seeds in forest herbs."" Ecoscience 17(4): 365-371."
Incubator,,,Jar,,Peat,"Baldwin, H. I. (1934). ""Effect of After-Ripening Treatment on Germination of White Pine Seeds of Different Ages."" Botanical Gazette 96(2): 372-376."
Incubator,,,Petri,,Filter paper,"Ballegaard, T. K. W., E. (1985). ""OBSERVATIONS ON AUTOTOXIC EFFECTS ON SEED-GERMINATION AND SEEDLING GROWTH IN CIRSIUM-PALUSTRE FROM A SPRING AREA IN JUTLAND, DENMARK."" Holarctic Ecology 8(1): 63-65."
Room,,,Petri,4.5 cm,Filter paper,"Barden, C. J., et al. (2017). ""Promoting Red Elm (Ulmus rubra Muhl.) Germination with Gibberellic Acid."" Journal of Forestry 115(5): 393-396."
Incubator,,,Petri,,Filter paper,"Barnett, P. E. F., R. E. (1978). ""ALTITUDINAL VARIATION IN GERMINATION CHARACTERISTICS OF YELLOW-POPLAR IN THE SOUTHERN APPALACHIANS."" Silvae Genetica 27(3-4): 101-104."
Incubator,,,Petri,9 cm,Soil and sand 3:1,"Baskin, C. C. B., Jerry M. (1995). ""Warm plus cold stratification requirement for dormancy break in seeds of the woodland herb Cardamine concatenata (Brassicaceae), and evolutionary implications."" Canadian Journal of Botany 73(4): 608-612."
Incubator,,,Petri,5.5 cm,Filter paper,"Baskin, C. C. M., Per; Andersson, Lars; Baskin, Jerry M. (2000). ""Germination studies of three dwarf shrubs (Vaccinium, Ericaceae) of Northern Hemisphere coniferous forests."" Canadian Journal of Botany 78(12): 1552-1560."
Incubator,,,Petri,9 cm,Soil and sand 3:1,"Baskin, C. C. M., Susan E.; Baskin, Jerry M. (1995). ""Two Types of Morphophysiological Dormancy in Seeds of Two Genera (Osmorhiza;  and Erythronium; ) with an Arcto-Tertiary Distribution Pattern."" American Journal of Botany 82(3): 293-298."
Incubator,,,Petri,9 cm,Soil,"Baskin, J. M. and C. C. Baskin (1979). ""Promotion of Germination of Stellaria Media Seeds by Light from a Green Safe Lamp."" New Phytologist 82(2): 381-383."
Incubator,,,Petri,5.5 cm,Sand,"Baskin, J. M. B., C. C. (1992). ""SEED-GERMINATION BIOLOGY OF THE WEEDY BIENNIAL ALLIARIA-PETIOLATA."" Natural Areas Journal 12(4): 191-197."
Incubator,,,Petri,,Soil,"Baskin, J. M. B., Carol C. (1986). ""Seed Germination Ecophysiology of the Woodland Herb Asarum canadense."" American Midland Naturalist 116(1): 132-139."
Incubator,,,Petri,5.5 cm,Sand,"Baskin, J. M. B., Carol C. (1986). ""Temperature requirements for after-ripening in seeds of nine winter annuals."" Weed Research 26(6): 375-380."
Incubator,1% solution of calcium hypochlorite for three-six minutes,,Petri,,Filter paper,"Basto, S., et al. (2013). ""Effect of pH buffer solutions on seed germination of Hypericum pulchrum, Campanula rotundifolia and Scabiosa columbaria."" Seed Science and Technology 41(2): 298-302."
,,,Petri,,Filter paper,"Baturin, S. O. (2009). ""Seed germination of Fragaria vesca L. From atypical ecotopes of West Siberia."" Contemporary Problems of Ecology 2(6): 556-559."
Incubator,,,Petri,10 cm,Filter paper,"Bauer, M. (1998). ""A simulation model to predict seed dormancy loss in the field for Bromus tectorum L."" Journal of Experimental Botany 49(324): 1235-1244."
,,,Petri,,Filter paper,"Bavcon, J. D., B.; Papes, D. (1994). ""GERMINATION OF SEEDS AND CYTOGENETIC ANALYSIS OF THE SPRUCE IN DIFFERENTLY POLLUTED AREAS OF SLOVENIA."" Phyton-Annales Rei Botanicae 33(2): 267-277."
Incubator,,,Petri,,Filter paper,"Bean, E. W. S., S.; Tyler, B. F. (1984). ""The germination of grass seeds after storage at different temperatures in aluminium foil and manilla paper packets."" Annals of Applied Biology 105(2): 399-403."
Incubator,,,Box,51 x 25 x 10 cm,Kimpak,"Beardmore, T., et al. (2008). ""Effects of seed water content and storage temperature on the germination parameters of white spruce, black spruce and lodgepole pine seed."" New Forests 36(2): 171-185."
Incubator,,,Petri,,Filter paper,"Beckmann, M., et al. (2011). ""Germination responses of three grassland species differ between native and invasive origins."" Ecological Research 26(4): 763-771."
Incubator,,,Petri,10 cm,Filter paper,"Beckstead, J. M., Susan E.; Allen, Phil S. (1996). ""Bromus tectorum seed germination: between-population and between-year variation."" Canadian Journal of Botany 74(6): 875-882."
