Reference,Country,Species,Population,Latitude,Longitude,Date collection,Date experiment,Dry storage,Stratification,Stratification days,Scarification,NO3,GA,Length experiment,Tmax,Tmin,Ligh,Period,Replicates,Sown per replicate,Germination,Viable,SD conclusion
"Tilki, F. (2005). ""Seed germination and radicle development in six provenances of Pinus sylvestris L. under water stress."" Israel Journal of Plant Sciences 53(1): 29-33.",Turkey,Pinus sylvestris,Akdagmadeni-Culhal?,39d30mN,35d52mE,2004,2004,Y,None,0,N,0,0,21,20,20,24,12,4,50,88.2,NA,NA
"Tilki, F. (2005). ""Seed germination and radicle development in six provenances of Pinus sylvestris L. under water stress."" Israel Journal of Plant Sciences 53(1): 29-33.",Turkey,Pinus sylvestris,Akyaz?-Dokurcun,40d37mN,30d50mE,2004,2004,Y,None,0,N,0,0,21,20,20,24,12,4,50,78.7,NA,NA
"Toumi, M., et al. (2017). ""[Effect of several methods of scarification and osmotic stress on seed germination of Robinia pseudoacacia L.]."" C R Biol 340(5): 264-270.",Algiers,Robinia pseudoacacia,"Cherchell, wilaya de Tipaza, Algiers",36d47m25sN,2d37m30sE,2014,2015,N,None,0,N,0,0,8,28,28,0,12,3,60,0,NA,NA
"Toumi, M., et al. (2017). ""[Effect of several methods of scarification and osmotic stress on seed germination of Robinia pseudoacacia L.]."" C R Biol 340(5): 264-270.",Algiers,Robinia pseudoacacia,"Cherchell, wilaya de Tipaza, Algiers",36d47m25sN,2d37m30sE,2014,2015,N,None,0,Y,0,0,8,28,28,0,12,3,60,85,NA,NA
"Rostamikia, Y., et al. (2016). ""Effect of Plant Growth Promoting Rhizobacteria (PGPR) and Cold Stratification on Seed Germination and Early Growth of Corylus avellana L."" Austrian Journal of Forest Science 133(4): 337-352.",Iran,Corylus avellana,Arasbaran,38d51m15sN,48d39m17sE,2015,2015,Y,None,0,Y,0,0,31,23.5,23.5,NA,12,3,20,1,NA,NA
"Rostamikia, Y., et al. (2016). ""Effect of Plant Growth Promoting Rhizobacteria (PGPR) and Cold Stratification on Seed Germination and Early Growth of Corylus avellana L."" Austrian Journal of Forest Science 133(4): 337-352.",Iran,Corylus avellana,Arasbaran,38d51m15sN,48d39m17sE,2015,2015,Y,5,120,Y,0,0,31,23.5,23.5,NA,12,3,20,45,NA,NA
"Rostamikia, Y., et al. (2016). ""Effect of Plant Growth Promoting Rhizobacteria (PGPR) and Cold Stratification on Seed Germination and Early Growth of Corylus avellana L."" Austrian Journal of Forest Science 133(4): 337-352.",Iran,Corylus avellana,Ardebil,38d19m16sN,48d36m28sE,2015,2015,Y,None,0,Y,0,0,31,23.5,23.5,NA,12,3,20,3,NA,NA
"Rostamikia, Y., et al. (2016). ""Effect of Plant Growth Promoting Rhizobacteria (PGPR) and Cold Stratification on Seed Germination and Early Growth of Corylus avellana L."" Austrian Journal of Forest Science 133(4): 337-352.",Iran,Corylus avellana,Ardebil,38d19m16sN,48d36m28sE,2015,2015,Y,5,120,Y,0,0,31,23.5,23.5,NA,12,3,20,50,NA,NA
"Arcamone, J. R. and P. Jaureguiberry (2018). ""Germination response of common annual and perennial forbs to heat shock and smoke treatments in the Chaco Serrano, central Argentina."" Austral Ecology 43(5): 567-577.",Argentina,Taraxacum officinale,"Sierras Chicas, Córdoba, Argentina",30d58mS,64d29mW,2017,2017,Y,None,0,N,0,0,50,25,25,12,12,3,50,81,NA,NA
"Flores, P., et al. (2017). ""Ruptura de la dormición y exigencias de luz para la germinación de semillas de Juglans nigra."" Fave. Sección ciencias agrarias 16(2): 33-46.",Argentina,Juglans nigra,"Unknown, experiment in Zavalla, Santa Fe, Argentina",33d01m44.9sS,60d53m24.6sW,2016,2016,Y,5,90,N,0,0,28,30,20,8,8,4,100,33,NA,NA
"Flores, P., et al. (2017). ""Ruptura de la dormición y exigencias de luz para la germinación de semillas de Juglans nigra."" Fave. Sección ciencias agrarias 16(2): 33-46.",Argentina,Juglans nigra,"Unknown, experiment in Zavalla, Santa Fe, Argentina",33d01m44.9sS,60d53m24.6sW,2016,2016,Y,5,120,N,0,0,28,30,20,8,8,4,100,80,NA,NA
"Flores, P., et al. (2017). ""Ruptura de la dormición y exigencias de luz para la germinación de semillas de Juglans nigra."" Fave. Sección ciencias agrarias 16(2): 33-46.",Argentina,Juglans nigra,"Unknown, experiment in Zavalla, Santa Fe, Argentina",33d01m44.9sS,60d53m24.6sW,2016,2016,Y,5,90,N,0,0,28,30,20,0,12,4,100,49,NA,NA
"Flores, P., et al. (2017). ""Ruptura de la dormición y exigencias de luz para la germinación de semillas de Juglans nigra."" Fave. Sección ciencias agrarias 16(2): 33-46.",Argentina,Juglans nigra,"Unknown, experiment in Zavalla, Santa Fe, Argentina",33d01m44.9sS,60d53m24.6sW,2016,2016,Y,5,120,N,0,0,28,30,20,0,12,4,100,97,NA,NA
