Stratification_temperature,Stratification_type
-5,Cold
0,Cold
0.9,Cold
1,Cold
1.5,Cold
2,Cold
2.5,Cold
3,Cold
3.5,Cold
3.8,Cold
4,Cold
4.4,Cold
4.5,Cold
5,Cold
6,Cold
8,Cold
9,Cold
10,Cold
15,Warm
17.5,Warm
20,Warm
23,Warm
25,Warm
"""5/1""",Cold
"1, DAR",Cold
15+3,W+C
15+5,W+C
18+4,W+C
20/10+2,W+C
20+2,W+C
20+3,W+C
20C,Warm
20C+3C,W+C
20C+4C,W+C
23C+4C+23C+4C,W+C
25/10+20/7+15/4+5,W+C
25/15+5/1,W+C
25/15C,Warm
25+5,W+C
25C/15C+20/10+15/6+5,W+C
25C/15C+5C,W+C
26C+4C,W+C
3+25+3+25+3,W+C
30/15C,Warm
30/20+4,W+C
30/20C+4C+30/20C+4C,W+C
4C+15/5C+4C,C+W
5+15/4+20/7+25/10,C+W
5C+15/5+20/10+25/15+20/10+15/5+5+15/6,C+W
DAR,Warm
Field buried,Cold
None,None
Outdoors,Cold
Soil,Cold
