"Species","Reference","Population","Year","Country","Latitude","Longitude","Scarification","Stratification_days","Stratification_type","Stratification","Light","Photoperiod","Alternating","Tdif","Tmax","Tmin","Tmean","Temperature","Length.experiment","Germinated","Germinable"
"Pinus taeda","Zhang, Z. and F. Yu (2019). ""Effects of Salt Stress on Seed Germination of Four Ornamental Non-Halophyte Species."" International Journal of Agriculture and Biology 21(1): 47-53.","Ji’an, Jiangxi Province, PR China",2011,"China",27.1,114.983333333333,"N","0","None","N","Y",24,"N",0,25,25,25,25,31,220,400
"Fraxinus chinensis","Zhang, Z. and F. Yu (2019). ""Effects of Salt Stress on Seed Germination of Four Ornamental Non-Halophyte Species."" International Journal of Agriculture and Biology 21(1): 47-53.","Ji’an, Jiangxi Province, PR China",2011,"China",27.1,114.983333333333,"N","0","None","N","Y",24,"N",0,25,25,25,25,31,300,400
"Solidago virgaurea","Pliszko, A. and K. Kostrakiewicz-Gieralt (2018). ""Effect of cold stratification on seed germination in Solidago x niederederi (Asteraceae) and its parental species."" Biologia (Bratisl) 73(10): 945-950.","Warsaw, Poland",2016,"Poland",42.1157666666667,20.9922333333333,"N","84","Cold","Y","Y",12,"N",0,25,25,25,25,21,189,300
"Solidago virgaurea","Pliszko, A. and K. Kostrakiewicz-Gieralt (2018). ""Effect of cold stratification on seed germination in Solidago x niederederi (Asteraceae) and its parental species."" Biologia (Bratisl) 73(10): 945-950.","Warsaw, Poland",2016,"Poland",42.1157666666667,20.9922333333333,"N","84","Warm","Y","Y",12,"N",0,25,25,25,25,21,141,300
"Juglans nigra","Flores, P., et al. (2017). ""Ruptura de la dormición y exigencias de luz para la germinación de semillas de Juglans nigra."" Fave. Sección ciencias agrarias 16(2): 33-46.","Unknown, experiment in Zavalla, Santa Fe, Argentina",2016,"Argentina",-33.0166666666667,-60.8833333333333,"N","90","Cold","Y","N",0,"Y",10,30,20,25,25,28,196,400
"Juglans nigra","Flores, P., et al. (2017). ""Ruptura de la dormición y exigencias de luz para la germinación de semillas de Juglans nigra."" Fave. Sección ciencias agrarias 16(2): 33-46.","Unknown, experiment in Zavalla, Santa Fe, Argentina",2016,"Argentina",-33.0166666666667,-60.8833333333333,"N","120","Cold","Y","N",0,"Y",10,30,20,25,25,28,388,400
"Juglans nigra","Flores, P., et al. (2017). ""Ruptura de la dormición y exigencias de luz para la germinación de semillas de Juglans nigra."" Fave. Sección ciencias agrarias 16(2): 33-46.","Unknown, experiment in Zavalla, Santa Fe, Argentina",2016,"Argentina",-33.0166666666667,-60.8833333333333,"N","90","Cold","Y","Y",8,"Y",10,30,20,23.3333333333333,25,28,132,400
"Juglans nigra","Flores, P., et al. (2017). ""Ruptura de la dormición y exigencias de luz para la germinación de semillas de Juglans nigra."" Fave. Sección ciencias agrarias 16(2): 33-46.","Unknown, experiment in Zavalla, Santa Fe, Argentina",2016,"Argentina",-33.0166666666667,-60.8833333333333,"N","120","Cold","Y","Y",8,"Y",10,30,20,23.3333333333333,25,28,320,400
"Abies cephalonica","Daskalakou, E. N., et al. (2017). ""Interannual variability of germination and cone/seed morphometric characteristics in the endemic Grecian fir (Abies cephalonica) over an 8-year-long study."" Seed Science Research 28(01): 24-33.","Parnitha NP fir forest, Greece",2015,"Greece",38.1666666666667,23.7166666666667,"N","0","None","N","N",0,"N",0,5,5,5,5,105,96,100
"Abies cephalonica","Daskalakou, E. N., et al. (2017). ""Interannual variability of germination and cone/seed morphometric characteristics in the endemic Grecian fir (Abies cephalonica) over an 8-year-long study."" Seed Science Research 28(01): 24-33.","Parnitha NP fir forest, Greece",2015,"Greece",38.1666666666667,23.7166666666667,"N","0","None","N","N",0,"N",0,15,15,15,15,105,8,100
"Abies cephalonica","Daskalakou, E. N., et al. (2017). ""Interannual variability of germination and cone/seed morphometric characteristics in the endemic Grecian fir (Abies cephalonica) over an 8-year-long study."" Seed Science Research 28(01): 24-33.","Parnitha NP fir forest, Greece",2015,"Greece",38.1666666666667,23.7166666666667,"N","0","None","N","N",0,"N",0,20,20,20,20,105,42,100
"Abies cephalonica","Daskalakou, E. N., et al. (2017). ""Interannual variability of germination and cone/seed morphometric characteristics in the endemic Grecian fir (Abies cephalonica) over an 8-year-long study."" Seed Science Research 28(01): 24-33.","Parnitha NP fir forest, Greece",2015,"Greece",38.1666666666667,23.7166666666667,"N","0","None","N","N",0,"Y",10,20,10,15,15,105,44,100
"Abies cephalonica","Daskalakou, E. N., et al. (2017). ""Interannual variability of germination and cone/seed morphometric characteristics in the endemic Grecian fir (Abies cephalonica) over an 8-year-long study."" Seed Science Research 28(01): 24-33.","Parnitha NP fir forest, Greece",2015,"Greece",38.1666666666667,23.7166666666667,"N","0","None","N","Y",12,"Y",10,30,20,25,25,105,88,100
"Abies cephalonica","Daskalakou, E. N., et al. (2017). ""Interannual variability of germination and cone/seed morphometric characteristics in the endemic Grecian fir (Abies cephalonica) over an 8-year-long study."" Seed Science Research 28(01): 24-33.","Parnitha NP fir forest, Greece",2015,"Greece",38.1666666666667,23.7166666666667,"N","0","None","N","Y",12,"N",0,5,5,5,5,105,98,100
"Abies cephalonica","Daskalakou, E. N., et al. (2017). ""Interannual variability of germination and cone/seed morphometric characteristics in the endemic Grecian fir (Abies cephalonica) over an 8-year-long study."" Seed Science Research 28(01): 24-33.","Parnitha NP fir forest, Greece",2015,"Greece",38.1666666666667,23.7166666666667,"N","0","None","N","N",0,"N",0,10,10,10,10,105,90,100
"Abies cephalonica","Daskalakou, E. N., et al. (2017). ""Interannual variability of germination and cone/seed morphometric characteristics in the endemic Grecian fir (Abies cephalonica) over an 8-year-long study."" Seed Science Research 28(01): 24-33.","Parnitha NP fir forest, Greece",2015,"Greece",38.1666666666667,23.7166666666667,"N","0","None","N","Y",12,"N",0,15,15,15,15,105,81,100
"Abies cephalonica","Daskalakou, E. N., et al. (2017). ""Interannual variability of germination and cone/seed morphometric characteristics in the endemic Grecian fir (Abies cephalonica) over an 8-year-long study."" Seed Science Research 28(01): 24-33.","Parnitha NP fir forest, Greece",2015,"Greece",38.1666666666667,23.7166666666667,"N","0","None","N","Y",12,"N",0,25,25,25,25,105,81,100
