"families","species","species.original","life.form","H","L","N","ellenberg.L","eduardo.mayor.L","eduardo.filled.L","ell_light_uk","ell_L_it","L1.fr","L2.fr","L.cz","L.land","ellenberg.H","eduardo.mayor.H","eduardo.filled.H","ell_H_uk","ell_H_it","H1.fr","H2.fr","H.cz","H.land","ellenberg.N","eduardo.mayor.N","eduardo.filled.N","ell_N_uk","ell_N_it","N1.fr","N2.fr","N.cz","N.land"
"Adoxaceae","Viburnum_lantana","Viburnum_lantana","woody",2,1,2,"7","3","3","7","7","7","NA","7","3","5.333333333333333","2","2","NA","4","4","NA","4","2","4","2","2","NA","5","4","NA","5","2"
"Adoxaceae","Viburnum_opulus","Viburnum_opulus","woody",3,1,3,"6","3","3","6","6","6","NA","6","3","6.666666666666667","4","4","NA","7","6","NA","6","3.5","6","3","3","NA","6","6","NA","6","3"
"Alismataceae","Alisma_gramineum","Alisma_gramineum","perennial",3,2,2,"7","NA","NA","7","7","7.5","NA","7","4","1.3333333333333333","NA","NA","11","10","10","NA","11","5","4","NA","NA","4.3333333329999997","7","3","NA","5","3"
"Alismataceae","Alisma_plantago-aquatica","Alisma_plantago-aquatica","perennial",3,2,3,"7","4","4","7","7","7","NA","7","4","1.3333333333333333","5","5","10","10","9","NA","10","5","8","4","4","7.6666666670000003","8","7","NA","8","3"
"Alismataceae","Baldellia_ranunculoides","Baldellia_ranunculoides","perennial",3,2,2,"8","4","4","NA","8","8","NA","NA","4","1.3333333333333333","5","5","10","11","9","NA","NA","5","2","1","1","2","8","3","NA","NA","3"
"Alismataceae","Damasonium_alisma","Damasonium_alisma","perennial",3,2,2,"NA","NA","NA","8","7","8","NA","NA","4","NA","NA","NA","10","10","8","NA","NA","5","NA","NA","NA","3","7","3","NA","NA","2"
"Alismataceae","Sagittaria_sagittifolia","Sagittaria_sagittifolia","perennial",3,2,3,"7","NA","NA","7","7","7.5","NA","7","3","1.3333333333333333","NA","NA","NA","10","10.5","NA","10","5","6","NA","NA","NA","6","7.5","NA","6","4"
"Amaranthaceae","Amaranthus_graecizans","Amaranthus_graecizans","annual",1,3,3,"9","5","NA","9","8","8.5","NA","9","4","4","2","NA","3","4","4.5","NA","3","1.5","8","4","NA","8","8","7.5","NA","8","4"
"Amaranthaceae","Amaranthus_lividus","Amaranthus_lividus","annual",2,2,3,"8","4","NA","NA","8","NA","NA","NA","NA","5.333333333333333","3","NA","NA","4","NA","NA","NA","NA","8","4","NA","NA","8","NA","NA","NA","NA"
"Amaranthaceae","Amaranthus_lividus","Amaranthus_lividus&polygonoides","annual",2,2,3,"8","4","NA","NA","8","NA","NA","NA","NA","5.333333333333333","3","NA","NA","4","NA","NA","NA","NA","8","4","NA","NA","8","NA","NA","NA","NA"
"Amaranthaceae","Atriplex_calotheca","Atriplex_calotheca","annual",3,3,3,"9","NA","NA","NA","NA","NA","NA","NA","NA","8","NA","NA","NA","NA","NA","NA","NA","NA","8","NA","NA","NA","NA","NA","NA","NA","NA"
"Amaranthaceae","Atriplex_glabriuscula","Atriplex_glabriuscula","annual",3,3,3,"9","NA","NA","9","NA","9","NA","NA","NA","9.3333333333333339","NA","NA","6","NA","6","NA","NA","NA","9","NA","NA","8","NA","7","NA","NA","NA"
"Amaranthaceae","Atriplex_laciniata","Atriplex_laciniata","annual",2,3,3,"9","NA","NA","9","NA","9","NA","NA","NA","9.3333333333333339","NA","NA","6","NA","5","NA","NA","NA","8","NA","NA","7","NA","7","NA","NA","NA"
"Amaranthaceae","Atriplex_littoralis","Atriplex_littoralis","annual",2,3,3,"9","NA","NA","9","9","9","NA","NA","NA","6.666666666666667","NA","NA","6","3","6","NA","NA","NA","9","NA","NA","6","9","8","NA","NA","NA"
"Amaranthaceae","Atriplex_patula","Atriplex_patula","annual",2,2,3,"6","4","4","NA","6","7","NA","7","4","6.666666666666667","3","3","5","5","6","NA","5","2.5","7","4","4","7","5","7","NA","7","4"
"Amaranthaceae","Atriplex_praecox","Atriplex_praecox","annual",2,NA,3,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","5","NA","NA","NA","NA","NA","NA","NA","NA","6","NA","NA","NA","NA","NA"
"Amaranthaceae","Atriplex_prostrata","Atriplex_prostrata","annual",3,2,3,"NA","4","4","8","9","8","NA","8","4","NA","3","3","6.6666666670000003","6","8","NA","7","3","NA","3","3","8","9","7","NA","8","4"
"Amaranthaceae","Atriplex_sagittata","Atriplex_sagittata","annual",2,3,3,"9","NA","NA","NA","NA","9","NA","9","4","6.666666666666667","NA","NA","NA","NA","5","NA","5","2.5","7","NA","NA","NA","NA","7","NA","7","4"
"Amaranthaceae","Bassia_scoparia","Bassia_scoparia","annual",1,3,3,"NA","NA","NA","NA","NA","NA","NA","8","4.5","NA","NA","NA","4","NA","NA","NA","4","1.5","NA","NA","NA","6","NA","NA","NA","6","3"
"Amaranthaceae","Beta_vulgaris","Beta_vulgaris","perennial",2,3,3,"9","NA","NA","9","11","7.6666666666666696","NA","NA","4","8","NA","NA","5","6","4.6666666666666696","NA","NA","3","9","NA","NA","8","5","8","NA","NA","4"
"Amaranthaceae","Blitum_bonus-henricus","Blitum_bonus-henricus","perennial",2,2,3,"NA","NA","NA","NA","NA","7","NA","NA","NA","NA","NA","NA","NA","NA","5","NA","NA","NA","NA","NA","NA","NA","NA","9","NA","NA","NA"
"Amaranthaceae","Bosea_cypria","Bosea_cypria","woody",NA,NA,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Amaranthaceae","Camphorosma_annua","Camphorosma_annua","annual",NA,NA,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Amaranthaceae","Ceratocarpus_arenarius","Ceratocarpus_arenarius","perennial",NA,NA,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Amaranthaceae","Chenopodium_album","Chenopodium_album","annual",2,2,3,"7.5","4","4","7","7","NA","NA","7","4","5.333333333333333","2","2","4.6666666670000003","4","NA","NA","5","2","6.5","4","4","7","7","NA","NA","7","4"
"Amaranthaceae","Chenopodium_ambrosioides","Chenopodium_ambrosioides","annual",1,2,3,"NA","5","NA","NA","8","NA","NA","NA","4","NA","2","NA","NA","2","NA","NA","NA","2","NA","4","NA","NA","5","NA","NA","NA","4"
