Taxon,TPLName,Family,Reference,Year,Country,Population,Latitude,Longitude,Dry_storage,Setting,Sterilization,Nutrients,Substrate,Container_type,Container_size,Container_number,Number_per_container,Incubation_days,Scarification,Stratification_days,Stratification_temperature,Stratification_type,Stratification,Light,Photoperiod,Alternating,Tdif,Tmax,Tmin,Tmean,Temperature,Germinated,Number_seeds
Amelanchier alnifolia,Amelanchier alnifolia,Rosaceae,"Acharya, S. N., et al. (1989). ""EFFECTS OF POPULATION, ENVIRONMENT AND THEIR INTERACTION ON SASKATOON BERRY (Amelanchier alnifolia Nutt.) SEED GERMINATION."" Canadian Journal of Plant Science 69(1): 277-284.",1984,Canada,"Population 17, Alberta, Canada",53.333333333333336,-117.41666666666667,N,Incubator,4% sodium hypochlorite solution for 2 min,,Filter paper,Petri,9 cm,8,25,21,N,84,3,Cold,Y,Y,16,Y,15,25,10,19.999999999999996,20,134,200
Pinus contorta,Pinus contorta,Pinaceae,"Aoki, C. F. R., William H.; Rocca, Monique E. (2011). ""Lodgepole Pine Seed Germination Following Tree Death from Mountain Pine Beetle Attack in Colorado, USA."" The American Midland Naturalist 165(2): 446-451.",2007,USA,"Rocky Mountain National Park, USA",40.333333333333336,-105.68333333333334,Y,Incubator,Captan (50%),,Filter paper,Petri,,10,40,NA,N,0,None,None,N,Y,8,Y,7,27,20,22.333333333333332,20,228,400
Osmorhiza chilensis,Osmorhiza chilensis,Apiaceae,"Baskin, C. C. M., Susan E.; Baskin, Jerry M. (1995). ""Two Types of Morphophysiological Dormancy in Seeds of Two Genera (Osmorhiza;  and Erythronium; ) with an Arcto-Tertiary Distribution Pattern."" American Journal of Botany 82(3): 293-298.",1991,USA,"Loafer Canyon, Utah, USA",40.016666666666666,-111.66666666666667,Y,Incubator,,,Soil and sand 3:1,Petri,9 cm,3,50,294,N,0,None,None,N,Y,12,Y,9,15,6,10.5,10,0,150
Osmorhiza chilensis,Osmorhiza chilensis,Apiaceae,"Baskin, C. C. M., Susan E.; Baskin, Jerry M. (1995). ""Two Types of Morphophysiological Dormancy in Seeds of Two Genera (Osmorhiza;  and Erythronium; ) with an Arcto-Tertiary Distribution Pattern."" American Journal of Botany 82(3): 293-298.",1991,USA,"Loafer Canyon, Utah, USA",40.016666666666666,-111.66666666666667,Y,Incubator,,,Soil and sand 3:1,Petri,9 cm,3,50,294,N,0,None,None,N,Y,12,Y,10,20,10,15,15,0,150
Osmorhiza chilensis,Osmorhiza chilensis,Apiaceae,"Baskin, C. C. M., Susan E.; Baskin, Jerry M. (1995). ""Two Types of Morphophysiological Dormancy in Seeds of Two Genera (Osmorhiza;  and Erythronium; ) with an Arcto-Tertiary Distribution Pattern."" American Journal of Botany 82(3): 293-298.",1991,USA,"Loafer Canyon, Utah, USA",40.016666666666666,-111.66666666666667,Y,Incubator,,,Soil and sand 3:1,Petri,9 cm,3,50,294,N,0,None,None,N,Y,12,N,0,5,5,5,5,134,150
Osmorhiza chilensis,Osmorhiza chilensis,Apiaceae,"Baskin, C. C. M., Susan E.; Baskin, Jerry M. (1995). ""Two Types of Morphophysiological Dormancy in Seeds of Two Genera (Osmorhiza;  and Erythronium; ) with an Arcto-Tertiary Distribution Pattern."" American Journal of Botany 82(3): 293-298.",1991,USA,"Loafer Canyon, Utah, USA",40.016666666666666,-111.66666666666667,Y,Incubator,,,Soil and sand 3:1,Petri,9 cm,3,50,294,N,0,None,None,N,Y,12,Y,4,5,1,3,5,150,150
Bromus tectorum,Bromus tectorum,Poaceae,"Bauer, M. (1998). ""A simulation model to predict seed dormancy loss in the field for Bromus tectorum L."" Journal of Experimental Botany 49(324): 1235-1244.",1995,USA,"Potosi Pass, USA",35.983333333333334,-115.51666666666667,Y,Incubator,,,Filter paper,Petri,10 cm,4,25,28,N,0,None,None,N,Y,12,N,0,20,20,20,20,10,100
Bromus tectorum,Bromus tectorum,Poaceae,"Bauer, M. (1998). ""A simulation model to predict seed dormancy loss in the field for Bromus tectorum L."" Journal of Experimental Botany 49(324): 1235-1244.",1995,USA,"Potosi Pass, USA",35.983333333333334,-115.51666666666667,Y,Incubator,,,Filter paper,Petri,10 cm,4,25,28,N,126,DAR,Warm,Y,Y,12,N,0,25,25,25,25,100,100
Bromus tectorum,Bromus tectorum,Poaceae,"Bauer, M. (1998). ""A simulation model to predict seed dormancy loss in the field for Bromus tectorum L."" Journal of Experimental Botany 49(324): 1235-1244.",1995,USA,"Potosi Pass, USA",35.983333333333334,-115.51666666666667,Y,Incubator,,,Filter paper,Petri,10 cm,4,25,28,N,126,DAR,Warm,Y,Y,12,N,0,15,15,15,15,100,100
Bromus tectorum,Bromus tectorum,Poaceae,"Bauer, M. (1998). ""A simulation model to predict seed dormancy loss in the field for Bromus tectorum L."" Journal of Experimental Botany 49(324): 1235-1244.",1995,USA,"Potosi Pass, USA",35.983333333333334,-115.51666666666667,Y,Incubator,,,Filter paper,Petri,10 cm,4,25,28,N,0,None,None,N,Y,12,N,0,15,15,15,15,50,100
